Open Time,Open,High,Low,Close,Close Time,HMA10,SMA5,SMA10,SMA30,SMA60,SMA120,SMA240,RSI9,RSI14,RSI25
2023-08-26 15:49:00,0.008104,0.008108,0.008104,0.008107,2023-08-26 15:49:59.999000064,,,,,,,,,,
2023-08-26 15:50:00,0.008107,0.008107,0.008099,0.008102,2023-08-26 15:50:59.999000064,,,,,,,,,,
2023-08-26 15:51:00,0.008102,0.008102,0.008099,0.008101,2023-08-26 15:51:59.999000064,,,,,,,,,,
2023-08-26 15:52:00,0.008101,0.008104,0.0081,0.008104,2023-08-26 15:52:59.999000064,,,,,,,,,,
2023-08-26 15:53:00,0.008104,0.008104,0.008101,0.008103,2023-08-26 15:53:59.999000064,,,,,,,,,,
2023-08-26 15:54:00,0.008102,0.008105,0.008101,0.008104,2023-08-26 15:54:59.999000064,,0.0081034,,,,,,,,
2023-08-26 15:55:00,0.008104,0.008105,0.008102,0.008104,2023-08-26 15:55:59.999000064,,0.008102799999999999,,,,,,,,
2023-08-26 15:56:00,0.008104,0.008105,0.008103,0.008105,2023-08-26 15:56:59.999000064,,0.0081032,,,,,,,,
2023-08-26 15:57:00,0.008104,0.008105,0.008104,0.008105,2023-08-26 15:57:59.999000064,,0.008104,,,,,,,,
2023-08-26 15:58:00,0.008104,0.008105,0.008101,0.008104,2023-08-26 15:58:59.999000064,,0.0081042,,,,,,,,
2023-08-26 15:59:00,0.008104,0.008104,0.008096,0.008098,2023-08-26 15:59:59.999000064,,0.008104400000000001,0.0081039,,,,,42.33593089634933,,
2023-08-26 16:00:00,0.008099,0.008099,0.008091,0.008091,2023-08-26 16:00:59.999000064,,0.008103200000000001,0.008102999999999999,,,,,21.30248933503469,,
2023-08-26 16:01:00,0.008092,0.008096,0.00809,0.008094,2023-08-26 16:01:59.999000064,0.008099259595959595,0.0081006,0.008101899999999999,,,,,12.894348921039825,,
2023-08-26 16:02:00,0.008094,0.008094,0.008091,0.008092,2023-08-26 16:02:59.999000064,0.008095261616161616,0.0080984,0.0081012,,,,,26.820598916645235,,
2023-08-26 16:03:00,0.008094,0.008095,0.008093,0.008094,2023-08-26 16:03:59.999000064,0.008091984848484848,0.0080958,0.0081,,,,,23.948924884048783,,
2023-08-26 16:04:00,0.008094,0.008095,0.008094,0.008095,2023-08-26 16:04:59.999000064,0.008090571717171717,0.0080938,0.008099100000000001,,,,,32.12473388563761,31.308563441285184,
2023-08-26 16:05:00,0.008094,0.008096,0.008094,0.008095,2023-08-26 16:05:59.999000064,0.008090875757575758,0.0080932,0.0080982,,,,,35.995176311758996,34.455348453557235,
